,post_id,post_created,post_text,user_id,followers,friends,favourites,statuses,retweets,label
0,637894677824413696,Sun Aug 30 07:48:37 +0000 2015,It's just over 2 years since I was diagnosed with #anxiety and #depression. Today I'm taking a moment to reflect on how far I've come since.,1013187241,84,211,251,837,0,1
1,637890384576778240,Sun Aug 30 07:31:33 +0000 2015,"It's Sunday, I need a break, so I'm planning to spend as little time as possible on the #A14...",1013187241,84,211,251,837,1,1
2,637749345908051968,Sat Aug 29 22:11:07 +0000 2015,Awake but tired. I need to sleep but my brain has other ideas...,1013187241,84,211,251,837,0,1
3,637696421077123073,Sat Aug 29 18:40:49 +0000 2015,RT @SewHQ: #Retro bears make perfect gifts and are great for beginners too! Get stitching with October's Sew on sale NOW! #yay http://t.co/…,1013187241,84,211,251,837,2,1
4,637696327485366272,Sat Aug 29 18:40:26 +0000 2015,It’s hard to say whether packing lists are making life easier or just reinforcing how much still needs doing... #movinghouse #anxiety,1013187241,84,211,251,837,1,1
5,637692793083817985,Sat Aug 29 18:26:24 +0000 2015,Making packing lists is my new hobby... #movinghouse,1013187241,84,211,251,837,1,1
6,637691649943072772,Sat Aug 29 18:21:51 +0000 2015,At what point does keeping stuff for nostalgic reasons cross the line into plain old hoarding...? #movinghouse,1013187241,84,211,251,837,1,1
7,637689418472652800,Sat Aug 29 18:12:59 +0000 2015,Currently in the finding-boxes-of-random-shit packing phase. I think I’m a closet hoarder...,1013187241,84,211,251,837,0,1
8,637687177946734592,Sat Aug 29 18:04:05 +0000 2015,"Can't be bothered to cook, take away on the way 😁👍🏼 #lazy",1013187241,84,211,251,837,0,1
9,637684866906255360,Sat Aug 29 17:54:54 +0000 2015,RT @itventsnews: ITV releases promo video for the final series of Downton Abbey http://t.co/mC8Ive72zR http://t.co/CFBKrRvJIs,1013187241,84,211,251,837,41,1
10,637684675557896193,Sat Aug 29 17:54:08 +0000 2015,"... also, I have too much stuff. Way, way too much #movinghouse",1013187241,84,211,251,837,1,1
11,637684322078707712,Sat Aug 29 17:52:44 +0000 2015,I never want to put one of these together again #lotharderthanitlooks http://t.co/70ujlTCKlB,1013187241,84,211,251,837,0,1
12,637555158440902656,Sat Aug 29 09:19:29 +0000 2015,Moving stuff is bloomin’ knackering... and there’s still loads to do... 😥,1013187241,84,211,251,837,0,1
13,637550791847510017,Sat Aug 29 09:02:08 +0000 2015,"Back at the house, moving stuff. It’s so peaceful here... I ❤️ 🏡 😊",1013187241,84,211,251,837,0,1
14,637314209559281664,Fri Aug 28 17:22:02 +0000 2015,Urgh. Anxiety. FFS where does it come from?! (Breathe...),1013187241,84,211,251,837,0,1
15,637310611244892160,Fri Aug 28 17:07:45 +0000 2015,"I have too much stuff. Way, way too much... Massive purge on the way.",1013187241,84,211,251,837,0,1
16,637224036918013953,Fri Aug 28 11:23:44 +0000 2015,Hideous traffic on the A14. Must remember to pay closer attention to the traffic reports...,1013187241,84,211,251,837,0,1
17,637208158553931776,Fri Aug 28 10:20:38 +0000 2015,Packing and purging. Feels good 😊👍🏼,1013187241,84,211,251,837,0,1
18,637181954975252480,Fri Aug 28 08:36:30 +0000 2015,In B&amp;Q looking at internal doors. Fun times 😉,1013187241,84,211,251,837,0,1
19,637145132949766144,Fri Aug 28 06:10:11 +0000 2015,"Time to get up. So many things to do, such a busy day ahead...",1013187241,84,211,251,837,0,1
20,637133358812778496,Fri Aug 28 05:23:24 +0000 2015,It's 6:20... do I get up or lie here a little longer with my cat buddy... ❓,1013187241,84,211,251,837,0,1
21,637132570354950145,Fri Aug 28 05:20:16 +0000 2015,There's nothing like cocktails and exhaustion to aid a good night's  sleep...,1013187241,84,211,251,837,0,1
22,636996790693269505,Thu Aug 27 20:20:44 +0000 2015,Great night out with my favourite ladies. Much needed after the past few days. I love them so much 💕,1013187241,84,211,251,837,0,1
23,636603948711956480,Wed Aug 26 18:19:43 +0000 2015,Sat down on the sofa for a quick rest... an hour ago. Need to move.,1013187241,84,211,251,837,0,1
24,636562582321635329,Wed Aug 26 15:35:21 +0000 2015,How much do I want pizza right now...?,1013187241,84,211,251,837,0,1
25,636443677511057408,Wed Aug 26 07:42:51 +0000 2015,"I will always love you.

Peter Gabriel - In Your Eyes http://t.co/foAexmvoid",1013187241,84,211,251,837,0,1
26,636441987101655040,Wed Aug 26 07:36:08 +0000 2015,Such a busy day ahead. I need to focus but I'm feeling on the edge of derailment right now.,1013187241,84,211,251,837,0,1
27,636439953547882496,Wed Aug 26 07:28:04 +0000 2015,Even now the smallest thing still makes my heart break. I doesn't feel like that ever goes away.,1013187241,84,211,251,837,0,1
